GAME_DATE,SEASON_ID,team,elo_before,is_home,season_label
2025-12-27,22025,SAS,1639.1254762566668,1,2025-26
2025-12-29,22025,SAS,1612.0079321797518,1,2025-26
2025-12-31,22025,SAS,1593.4726133027586,1,2025-26
2026-01-02,22025,SAS,1597.6988685774445,0,2025-26
2026-01-03,22025,SAS,1601.822470711841,1,2025-26
2026-01-06,22025,SAS,1589.5033074555693,0,2025-26
2026-01-07,22025,SAS,1584.6481528618442,1,2025-26
2026-01-10,22025,SAS,1593.7965750082603,0,2025-26
2026-01-11,22025,SAS,1603.263329057033,0,2025-26
2026-01-13,22025,SAS,1599.8463782699937,0,2025-26
2026-01-15,22025,SAS,1590.291042031234,1,2025-26
2026-01-17,22025,SAS,1596.6794464286622,1,2025-26
2026-01-19,22025,SAS,1601.5350588742178,1,2025-26
2026-01-20,22025,SAS,1604.655102102215,0,2025-26
2026-01-22,22025,SAS,1598.3655971699047,0,2025-26
2026-01-25,22025,SAS,1605.099512730411,1,2025-26
2026-01-28,22025,SAS,1582.961383564446,0,2025-26
2026-01-31,22025,SAS,1597.4995761303849,0,2025-26
2026-02-01,22025,SAS,1590.9868378386484,1,2025-26
2026-02-04,22025,SAS,1595.8192363584558,1,2025-26
2026-02-05,22025,SAS,1608.342762780483,0,2025-26
2026-02-07,22025,SAS,1615.387668584237,1,2025-26
2026-02-10,22025,SAS,1619.6147046962997,0,2025-26
2026-02-11,22025,SAS,1637.118738522158,0,2025-26
2026-02-19,22025,SAS,1647.3198049054,1,2025-26
2026-02-21,22025,SAS,1657.905573434566,1,2025-26
2026-02-23,22025,SAS,1659.7374463314063,0,2025-26
2026-02-25,22025,SAS,1673.3913520597166,0,2025-26
2026-02-26,22025,SAS,1677.211476997239,0,2025-26
2026-03-01,22025,SAS,1680.5333010107636,0,2025-26
2026-03-03,22025,SAS,1660.286877223088,0,2025-26
2026-03-05,22025,SAS,1678.2722314808975,1,2025-26
2026-03-06,22025,SAS,1689.0852524879797,1,2025-26
2026-03-08,22025,SAS,1691.9734994880853,1,2025-26
2026-03-10,22025,SAS,1701.963871774333,1,2025-26
2026-03-12,22025,SAS,1708.3954275431886,1,2025-26
2026-03-14,22025,SAS,1696.1288461560805,1,2025-26
2026-03-16,22025,SAS,1703.4412551637795,0,2025-26
2026-03-17,22025,SAS,1707.8777808362854,0,2025-26
2026-03-19,22025,SAS,1712.591531705937,1,2025-26
2026-03-21,22025,SAS,1713.9358103558195,1,2025-26
2026-03-23,22025,SAS,1715.0158729664684,0,2025-26
2026-03-25,22025,SAS,1726.6187605145822,0,2025-26
2026-03-28,22025,SAS,1730.873256067085,0,2025-26
2026-03-30,22025,SAS,1735.5276578019773,1,2025-26
2026-04-01,22025,SAS,1737.2830851723384,0,2025-26
2026-04-02,22025,SAS,1741.8034392734348,0,2025-26
2026-04-04,22025,SAS,1750.6999271041589,0,2025-26
2026-04-06,22025,SAS,1744.1844368011768,1,2025-26
2026-04-08,22025,SAS,1747.4088080223455,1,2025-26
2026-04-10,22025,SAS,1750.3099744205424,1,2025-26
2026-04-12,22025,SAS,1751.8229765416029,1,2025-26
2020-12-23,22020,TOR,1500.0,1,2020-21
2020-12-26,22020,TOR,1484.687544403523,0,2020-21
2020-12-29,22020,TOR,1479.551766423885,0,2020-21
2020-12-31,22020,TOR,1473.4200491640051,1,2020-21
2021-01-02,22020,TOR,1486.8590317167454,0,2020-21
2021-01-04,22020,TOR,1482.3487047593544,1,2020-21
2021-01-06,22020,TOR,1469.2778199109105,0,2020-21
2021-01-08,22020,TOR,1463.7927474662604,0,2020-21
2021-01-10,22020,TOR,1484.690375645258,0,2020-21
2021-01-11,22020,TOR,1481.4462467156077,0,2020-21
2021-01-14,22020,TOR,1478.552644836385,1,2020-21
2021-01-16,22020,TOR,1483.7391679851974,1,2020-21
2021-01-18,22020,TOR,1488.721579209518,1,2020-21
2021-01-20,22020,TOR,1505.629576026564,1,2020-21
2021-01-22,22020,TOR,1492.313972360018,1,2020-21
2021-01-24,22020,TOR,1504.8666292260243,0,2020-21
2021-01-25,22020,TOR,1513.610967831382,0,2020-21
2021-01-27,22020,TOR,1502.3192590520202,1,2020-21
2021-01-29,22020,TOR,1494.3969974485408,1,2020-21
2021-01-31,22020,TOR,1487.345999029802,1,2020-21
2021-02-02,22020,TOR,1494.8885571349372,0,2020-21
2021-02-05,22020,TOR,1506.7723664625792,0,2020-21
2021-02-06,22020,TOR,1517.3290208022088,0,2020-21
2021-02-08,22020,TOR,1507.5737325263017,0,2020-21
2021-02-10,22020,TOR,1523.922263586353,0,2020-21
2021-02-11,22020,TOR,1537.9092831963094,0,2020-21
2021-02-14,22020,TOR,1526.152053527342,1,2020-21
2021-02-16,22020,TOR,1514.650587073014,0,2020-21
2021-02-18,22020,TOR,1531.1256373696951,0,2020-21
2021-02-19,22020,TOR,1548.6262303340138,0,2020-21
2021-02-21,22020,TOR,1552.853403991438,1,2020-21
2021-02-23,22020,TOR,1559.838151878225,1,2020-21
2021-02-24,22020,TOR,1549.4187476722116,0,2020-21
2021-02-26,22020,TOR,1539.704387323525,1,2020-21
2021-03-03,22020,TOR,1544.9935791576745,1,2020-21
2021-03-04,22020,TOR,1513.0131793378496,0,2020-21
2021-03-11,22020,TOR,1505.7327872541837,1,2020-21
2021-03-13,22020,TOR,1500.7371222477884,0,2020-21
2021-03-14,22020,TOR,1492.192332944146,0,2020-21
2021-03-17,22020,TOR,1476.3106045199256,0,2020-21
2021-03-19,22020,TOR,1469.9608048476855,1,2020-21
2021-03-21,22020,TOR,1466.4262902001326,0,2020-21
2021-03-22,22020,TOR,1453.5882638351832,0,2020-21
2021-03-24,22020,TOR,1432.678973682106,1,2020-21
2021-03-26,22020,TOR,1460.3145911045958,1,2020-21
2021-03-28,22020,TOR,1456.2949226873693,1,2020-21
2021-03-29,22020,TOR,1449.0775798070297,0,2020-21
2021-03-31,22020,TOR,1436.7323794769975,0,2020-21
2021-04-02,22020,TOR,1426.5344389161269,1,2020-21
2021-04-05,22020,TOR,1459.3281267856578,1,2020-21
2021-04-06,22020,TOR,1462.3201213416075,1,2020-21
2021-04-08,22020,TOR,1454.0114040859949,1,2020-21
2021-04-10,22020,TOR,1443.3309651038555,0,2020-21
2021-04-11,22020,TOR,1460.9293683118192,0,2020-21
2021-04-13,22020,TOR,1455.9528128602722,1,2020-21
2021-04-14,22020,TOR,1450.2363717236385,1,2020-21
2021-04-16,22020,TOR,1456.0868963476337,1,2020-21
2021-04-18,22020,TOR,1461.9413164592706,1,2020-21
2021-04-21,22020,TOR,1464.944881791136,1,2020-21
2021-04-24,22020,TOR,1479.1404329620882,0,2020-21
2021-04-26,22020,TOR,1471.4396600886023,1,2020-21
2021-04-27,22020,TOR,1479.4799468102417,1,2020-21
2021-04-29,22020,TOR,1469.815536346935,0,2020-21
